lokalizacja,cena,do_wynajecia_przez,liczba_pokoi,rodzaj_nieruchomosci,wielkosc,parking,liczba_lazienek,palacy,przyjazne_zwierzakom,liczba_wyrazow
"Białołęka, Warszawa",1300,Właściciel,Kawalerka lub garsoniera,Mieszkanie,32,Garaż,1 łazienka,Nie,Nie,251
"Targówek, Warszawa",1700,Właściciel,Kawalerka lub garsoniera,Mieszkanie,35,Garaż,1 łazienka,Nie,Nie,161
"Bielany, Warszawa",2500,Właściciel,3 pokoje,Mieszkanie,61,Kryty,1 łazienka,Nie,Nie,92
"Śródmieście, Warszawa",3900,Właściciel,2 pokoje,Mieszkanie,60,Ulica,1 łazienka,Tak,Tak,53
"Białołęka, Warszawa",1680,Właściciel,2 pokoje,Mieszkanie,40,Nie podano,1 łazienka,Tak,Tak,303
"Bielany, Warszawa",3000,Właściciel,3 pokoje,Mieszkanie,71,Kryty,2 łazienki,Tak,Tak,69
"Wola, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,41,Nie podano,1 łazienka,Nie,Nie,67
"Praga Południe, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,57,Kryty,1 łazienka,Tak,Nie,160
"Śródmieście, Warszawa",1600,Właściciel,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Nie,Nie,40
"Bemowo, Warszawa",2750,Właściciel,3 pokoje,Mieszkanie,64,Ulica,2 łazienki,Nie,Tak,119
"Ochota, Warszawa",2200,Właściciel,2 pokoje,Mieszkanie,48,Ulica,1 łazienka,Nie,Tak,59
"Ursus, Warszawa",2500,Właściciel,3 pokoje,Mieszkanie,64,Nie podano,1 łazienka,Tak,Tak,35
"Wola, Warszawa",3100,Właściciel,2 pokoje,Mieszkanie,50,Ulica,1 łazienka,Nie,Tak,219
"Wola, Warszawa",1800,Właściciel,Kawalerka lub garsoniera,Mieszkanie,32,Brak,1 łazienka,Nie,Nie,445
"Wola, Warszawa",1900,Właściciel,2 pokoje,Mieszkanie,32,Kryty,1 łazienka,Nie,Nie,59
"Ochota, Warszawa",2600,Właściciel,2 pokoje,Mieszkanie,52,Kryty,1 łazienka,Tak,Nie,108
"Praga Południe, Warszawa",2700,Właściciel,2 pokoje,Mieszkanie,50,Kryty,1 łazienka,Nie,Nie,146
"Śródmieście, Warszawa",3800,Właściciel,2 pokoje,Mieszkanie,86,Nie podano,1 łazienka,Nie,Tak,21
"Ursus, Warszawa",2100,Właściciel,2 pokoje,Mieszkanie,45,Nie podano,1 łazienka,Nie,Nie,96
"Bielany, Warszawa",2300,Właściciel,3 pokoje,Mieszkanie,58,Kryty,1 łazienka,Nie,Nie,187
"Ochota, Warszawa",3200,Właściciel,3 pokoje,Mieszkanie,84,Garaż,2 łazienki,Nie,Nie,307
"Wilanów, Warszawa",3500,Właściciel,2 pokoje,Mieszkanie,56,Garaż,1 łazienka,Nie,Nie,33
"Mokotów, Warszawa",2600,Właściciel,2 pokoje,Mieszkanie,51,Ulica,1 łazienka,Nie,Nie,210
